epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.968,0.89559,5.45812,1.41727,0.58154,0.58002,0.57507,0.39352,1.18685,4.20537,2.01612,0.00142525,0.000475083,0.00142525,0.000475083,0.00142525,0.000475083,0.00142525,0.000475083
2,184.577,0.90205,3.94988,1.34973,0.73905,0.66614,0.72715,0.50247,1.15944,3.65969,1.95313,0.00271296,0.000904321,0.00271296,0.000904321,0.00271296,0.000904321,0.00271296,0.000904321
3,263.024,0.91509,3.08648,1.32166,0.71516,0.69986,0.7336,0.52282,1.19221,2.59912,1.94807,0.00385921,0.0012864,0.00385921,0.0012864,0.00385921,0.0012864,0.00385921,0.0012864
4,338.37,0.92292,2.34216,1.30773,0.67882,0.72955,0.73284,0.50779,1.23279,1.17834,1.94508,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
5,414.049,0.9253,1.74544,1.29022,0.73313,0.72647,0.77253,0.5309,1.25644,0.98738,1.93414,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
6,489.404,0.92358,1.39888,1.30306,0.70459,0.80176,0.76397,0.53016,1.23342,0.92794,1.93784,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
7,569.406,0.90919,1.19198,1.29599,0.71431,0.77007,0.78256,0.54933,1.19955,0.9145,1.87928,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
8,650.645,0.90616,1.02113,1.29019,0.8236,0.7529,0.82757,0.57204,1.22603,0.75829,1.87595,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
9,731.645,0.88,0.91754,1.27313,0.66369,0.74195,0.7353,0.5026,1.23915,0.9273,1.94484,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
10,1776.48,0.88687,0.82048,1.26558,0.72574,0.69136,0.7208,0.48801,1.24245,1.06221,1.95375,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
11,1873.88,0.78684,0.87548,1.31499,0.68835,0.74063,0.72452,0.50134,1.23564,1.01752,1.9233,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
12,1949.41,0.78234,0.75394,1.29908,0.78508,0.83239,0.81942,0.57734,1.20208,0.783,1.89862,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
13,2023.68,0.76823,0.66877,1.29596,0.73495,0.79548,0.80882,0.57592,1.23815,0.69973,1.92432,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
14,2098.83,0.75601,0.61781,1.27601,0.77385,0.81126,0.82015,0.57042,1.23954,0.71147,1.92338,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
15,2173.97,0.74205,0.58339,1.27055,0.75234,0.74994,0.78658,0.55129,1.24039,0.82304,1.94807,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
16,2248.88,0.74537,0.55357,1.26398,0.72806,0.79902,0.79468,0.55555,1.24124,0.82006,1.93133,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
17,2324.08,0.73481,0.51882,1.2532,0.71888,0.73168,0.74745,0.52072,1.22584,0.97145,1.91891,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
18,2398.93,0.71899,0.4981,1.24034,0.73741,0.76386,0.79485,0.54927,1.217,0.8697,1.92062,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
19,2473.96,0.71217,0.48534,1.22902,0.72933,0.77133,0.77657,0.53695,1.22745,0.90797,1.94834,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
20,2548.28,0.69709,0.46727,1.22796,0.75382,0.78112,0.79484,0.54609,1.23065,0.85643,1.93397,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
