epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.615,1.20644,2.29984,1.79506,0.35125,0.3695,0.40805,0.25826,1.31891,1.91605,2.41514,0.000332676,0.000332676,0.0670651
2,221.359,1.22199,1.59828,1.76518,0.22215,0.39406,0.26697,0.14812,1.54815,2.17845,2.75787,0.000665896,0.000665896,0.034065
3,331.764,1.18512,1.47272,1.73482,0.67807,0.64198,0.69548,0.49014,1.21782,1.12716,2.32648,0.000998665,0.000998665,0.00106441
4,442.002,1.15207,1.39271,1.68883,0.62921,0.60466,0.62427,0.42016,1.35521,1.32466,2.383,0.000998474,0.000998474,0.000998474
5,551.885,1.14689,1.31609,1.69152,0.65686,0.67634,0.70808,0.48289,1.24184,1.48574,2.27935,0.000997288,0.000997288,0.000997288
6,661.786,1.10891,1.24052,1.65663,0.7198,0.66563,0.72373,0.52243,1.26061,0.9623,2.26152,0.000995765,0.000995765,0.000995765
7,772.223,1.10254,1.22722,1.6444,0.7804,0.6729,0.74701,0.53855,1.2388,0.95197,2.19146,0.000993906,0.000993906,0.000993906
8,882.403,1.09547,1.15065,1.6383,0.77872,0.74217,0.79353,0.56412,1.20767,0.82815,2.21869,0.000991711,0.000991711,0.000991711
9,992.368,1.08741,1.11806,1.62649,0.70129,0.7784,0.7551,0.51243,1.35621,0.9253,2.3759,0.000989183,0.000989183,0.000989183
10,1102.44,1.07447,1.08021,1.61785,0.73477,0.7772,0.78424,0.576,1.11152,0.84312,2.02604,0.000986323,0.000986323,0.000986323
11,1212.29,1.07037,1.08755,1.60917,0.75596,0.75422,0.77722,0.53864,1.3351,0.84827,2.35176,0.000983133,0.000983133,0.000983133
12,1322.47,1.06324,1.07554,1.58712,0.77401,0.73684,0.77367,0.55967,1.23727,0.84716,2.22807,0.000979616,0.000979616,0.000979616
13,1432.53,1.04701,1.0363,1.5851,0.82221,0.77755,0.81776,0.57994,1.23723,0.7636,2.19181,0.000975773,0.000975773,0.000975773
14,1538.56,1.04835,1.00966,1.57751,0.80043,0.76614,0.8021,0.57985,1.16394,0.83503,2.1174,0.000971608,0.000971608,0.000971608
15,1644.03,1.02768,1.00643,1.58065,0.73975,0.71846,0.74082,0.52893,1.33252,0.8349,2.35572,0.000967122,0.000967122,0.000967122
16,1752.23,1.02275,0.99461,1.55468,0.77502,0.77624,0.79997,0.57885,1.20808,0.79114,2.13152,0.00096232,0.00096232,0.00096232
17,1862.1,1.02226,0.97791,1.5577,0.77235,0.77188,0.77193,0.55412,1.23567,0.94163,2.20034,0.000957205,0.000957205,0.000957205
18,1971.69,1.0055,0.95023,1.5408,0.78344,0.7451,0.7835,0.56754,1.25796,0.79179,2.21114,0.00095178,0.00095178,0.00095178
19,2081.61,1.01915,0.94775,1.55686,0.76074,0.80204,0.80825,0.58014,1.18414,0.76977,2.11507,0.000946048,0.000946048,0.000946048
20,2191.62,1.01813,0.93213,1.55061,0.73836,0.74757,0.76969,0.5164,1.41895,0.78893,2.46139,0.000940014,0.000940014,0.000940014
21,2301.61,1.00605,0.92618,1.54439,0.79148,0.75937,0.78727,0.5744,1.19147,0.80972,2.13837,0.000933683,0.000933683,0.000933683
22,2411.22,0.9905,0.91866,1.53393,0.80486,0.83119,0.83909,0.57512,1.29352,0.68158,2.25258,0.000927057,0.000927057,0.000927057
23,2520.84,0.98154,0.90488,1.52786,0.80824,0.78505,0.80433,0.53997,1.37021,0.82952,2.46193,0.000920142,0.000920142,0.000920142
24,2626.9,0.99796,0.92023,1.5365,0.81842,0.77964,0.81797,0.56832,1.26185,0.84183,2.25101,0.000912942,0.000912942,0.000912942
25,2732.01,0.99594,0.88897,1.52852,0.79109,0.78685,0.80996,0.58492,1.21251,0.8289,2.18808,0.000905463,0.000905463,0.000905463
26,2840.99,0.99932,0.91901,1.53762,0.81773,0.75778,0.81126,0.55946,1.31607,0.71892,2.31197,0.00089771,0.00089771,0.00089771
27,2951.28,0.98368,0.89297,1.51686,0.81769,0.76105,0.81574,0.5825,1.24757,0.66321,2.22729,0.000889687,0.000889687,0.000889687
28,3061.37,0.98029,0.87564,1.53018,0.79665,0.80194,0.81475,0.57709,1.2393,0.81289,2.19962,0.000881401,0.000881401,0.000881401
29,3171.46,0.98427,0.87824,1.53179,0.8315,0.80304,0.84896,0.5899,1.22007,0.68669,2.17457,0.000872857,0.000872857,0.000872857
30,3281.54,0.9921,0.88464,1.52087,0.81911,0.77574,0.81497,0.57839,1.23436,0.76523,2.2148,0.00086406,0.00086406,0.00086406
31,3391.49,0.95876,0.84932,1.50153,0.82249,0.773,0.79474,0.55944,1.2693,0.70701,2.26006,0.000855018,0.000855018,0.000855018
32,3501.82,0.97666,0.87076,1.51663,0.80027,0.78864,0.8088,0.56495,1.25495,0.73413,2.24041,0.000845736,0.000845736,0.000845736
33,3611.73,0.96241,0.83518,1.50653,0.79792,0.80172,0.80642,0.5542,1.33929,0.84459,2.42103,0.00083622,0.00083622,0.00083622
34,3721.82,0.95306,0.83695,1.50371,0.85536,0.79963,0.84421,0.59476,1.23253,0.68788,2.22721,0.000826477,0.000826477,0.000826477
35,3831.95,0.96682,0.82052,1.505,0.83174,0.79516,0.84727,0.61087,1.17987,0.62378,2.12629,0.000816514,0.000816514,0.000816514
36,3942.25,0.96601,0.83667,1.50554,0.82208,0.7653,0.80373,0.558,1.28938,0.75874,2.27753,0.000806337,0.000806337,0.000806337
37,4052.5,0.94848,0.81175,1.49468,0.80909,0.8168,0.83963,0.59474,1.23746,0.64243,2.21501,0.000795954,0.000795954,0.000795954
38,4162.71,0.94354,0.79243,1.48078,0.83964,0.82428,0.86157,0.60663,1.18836,0.6786,2.12793,0.000785371,0.000785371,0.000785371
39,4273.16,0.9528,0.81789,1.49758,0.87324,0.77892,0.84975,0.59994,1.26216,0.67901,2.25,0.000774596,0.000774596,0.000774596
40,4383.28,0.95099,0.77999,1.49417,0.82469,0.79496,0.83038,0.57692,1.28968,0.65753,2.30255,0.000763637,0.000763637,0.000763637
